pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1655,-0.52,NEUTRAL,0.25
GBPUSD,GBPUSD,Major,1.3376,-1.11,NEUTRAL,0.31
USDJPY,USDJPY,Major,158.49,0.4,NEUTRAL,0.31
USDCHF,USDCHF,Major,0.785,0.45,NEUTRAL,0.31
AUDUSD,AUDUSD,Major,0.7196,-0.82,BULLISH,0.4
USDCAD,USDCAD,Major,1.3739,0.25,NEUTRAL,0.2
NZDUSD,NZDUSD,Major,0.5886,-0.77,BULLISH,0.48
EURGBP,EURGBP,Minor,0.8711,0.58,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.672,-0.14,NEUTRAL,0.25
GBPJPY,GBPJPY,Minor,211.981,-0.72,NEUTRAL,0.28
EURCHF,EURCHF,Minor,0.9147,-0.12,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,113.983,-0.44,NEUTRAL,0.34
GBPCHF,GBPCHF,Minor,1.05,-0.69,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.345,0.17,BEARISH,0.27
NZDJPY,NZDJPY,Minor,93.252,-0.38,NEUTRAL,0.36
USDMXN,USDMXN,Exotic,17.2627,0.56,BEARISH,0.35
USDZAR,USDZAR,Exotic,16.5347,0.9,NEUTRAL,0.6
USDTRY,USDTRY,Exotic,45.5306,0.22,BULLISH,0.08
USDBRL,USDBRL,Exotic,4.9837,-0.82,NEUTRAL,0.67
