name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4720.5,0.49,0.1,0.0021,0.1 (0.002%),BULLISH,1.04,14.6
Silver,SI=F,Precious Metals,88.115,-0.87,0.005,0.0057,0.005 (0.006%),BULLISH,2.75,5.73
Platinum,PL=F,Precious Metals,2150.6,-1.67,0.1,0.0046,0.1 (0.005%),BULLISH,2.03,15.91
Palladium,PA=F,Precious Metals,1518.0,-0.85,0.5,0.0329,0.5 (0.033%),NEUTRAL,2.01,19.1
Crude Oil WTI,CL=F,Energy,101.28,0.26,0.01,0.0099,0.01 (0.010%),BULLISH,3.43,0.07
Brent Crude,BZ=F,Energy,105.97,0.32,0.01,0.0094,0.01 (0.009%),NEUTRAL,3.67,0.06
Natural Gas,NG=F,Energy,2.887,0.8,0.001,0.0346,0.001 (0.035%),BULLISH,1.97,0.04
Copper,HG=F,Industrial Metals,6.594,-0.63,0.0005,0.0076,0.0005 (0.008%),BULLISH,1.31,4.16
Corn,ZC=F,Agriculture,478.75,2.63,0.25,0.0522,0.25 (0.052%),BULLISH,0.85,0.3
Wheat,ZW=F,Agriculture,679.5,2.18,0.25,0.0368,0.25 (0.037%),BULLISH,1.76,1.02
Soybeans,ZS=F,Agriculture,1218.25,0.25,0.25,0.0205,0.25 (0.021%),BULLISH,0.66,0.57
Cotton,CT=F,Softs,86.11,-0.81,0.01,0.0116,0.01 (0.012%),BULLISH,1.46,0.39
