pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1722,-0.11,NEUTRAL,0.23
GBPUSD,GBPUSD,Major,1.3529,-0.06,NEUTRAL,0.27
USDJPY,USDJPY,Major,157.829,0.1,BEARISH,0.3
USDCHF,USDCHF,Major,0.781,0.08,NEUTRAL,0.29
AUDUSD,AUDUSD,Major,0.7266,0.39,BULLISH,0.38
USDCAD,USDCAD,Major,1.3703,0.04,NEUTRAL,0.2
NZDUSD,NZDUSD,Major,0.5943,-0.16,BULLISH,0.45
EURGBP,EURGBP,Minor,0.8661,-0.07,NEUTRAL,0.11
EURJPY,EURJPY,Minor,184.937,-0.05,BEARISH,0.24
GBPJPY,GBPJPY,Minor,213.512,0.05,NEUTRAL,0.25
EURCHF,EURCHF,Minor,0.9152,-0.08,NEUTRAL,0.15
AUDJPY,AUDJPY,Minor,114.604,0.44,NEUTRAL,0.32
GBPCHF,GBPCHF,Minor,1.0566,0.02,NEUTRAL,0.17
CADJPY,CADJPY,Minor,115.181,0.07,BEARISH,0.29
NZDJPY,NZDJPY,Minor,93.742,-0.09,NEUTRAL,0.34
USDMXN,USDMXN,Exotic,17.1606,-0.39,BEARISH,0.32
USDZAR,USDZAR,Exotic,16.387,-0.75,NEUTRAL,0.57
USDTRY,USDTRY,Exotic,45.4337,0.07,BULLISH,0.09
USDBRL,USDBRL,Exotic,4.9842,1.52,BEARISH,0.6
