name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4615.3,-1.34,0.1,0.0022,0.1 (0.002%),NEUTRAL,1.02,15.46
Silver,SI=F,Precious Metals,81.735,-3.74,0.005,0.0061,0.005 (0.006%),BULLISH,2.91,4.98
Platinum,PL=F,Precious Metals,2027.2,-2.7,0.1,0.0049,0.1 (0.005%),BULLISH,2.24,14.47
Palladium,PA=F,Precious Metals,1435.0,-1.48,0.5,0.0348,0.5 (0.035%),BEARISH,2.22,19.33
Crude Oil WTI,CL=F,Energy,102.57,1.38,0.01,0.0097,0.01 (0.010%),BULLISH,2.93,0.01
Brent Crude,BZ=F,Energy,107.09,1.3,0.01,0.0093,0.01 (0.009%),NEUTRAL,3.27,0.03
Natural Gas,NG=F,Energy,2.922,0.97,0.001,0.0342,0.001 (0.034%),BULLISH,1.98,0.04
Copper,HG=F,Industrial Metals,6.421,-2.23,0.0005,0.0078,0.0005 (0.008%),BULLISH,1.41,5.15
Corn,ZC=F,Agriculture,471.25,4.37,0.25,0.0531,0.25 (0.053%),BULLISH,1.09,0.42
Wheat,ZW=F,Agriculture,657.5,1.62,0.25,0.038,0.25 (0.038%),BULLISH,1.8,0.59
Soybeans,ZS=F,Agriculture,1196.0,1.83,0.25,0.0209,0.25 (0.021%),BULLISH,0.9,0.48
