pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1678,-0.49,NEUTRAL,0.25
GBPUSD,GBPUSD,Major,1.3404,-0.98,NEUTRAL,0.32
USDJPY,USDJPY,Major,158.162,0.31,BEARISH,0.31
USDCHF,USDCHF,Major,0.7835,0.4,NEUTRAL,0.31
AUDUSD,AUDUSD,Major,0.7226,-0.16,BULLISH,0.37
USDCAD,USDCAD,Major,1.3727,0.22,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.5919,-0.56,BULLISH,0.47
EURGBP,EURGBP,Minor,0.871,0.49,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.688,-0.18,BEARISH,0.25
GBPJPY,GBPJPY,Minor,212.016,-0.65,BEARISH,0.28
EURCHF,EURCHF,Minor,0.9148,-0.13,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,114.254,0.13,NEUTRAL,0.3
GBPCHF,GBPCHF,Minor,1.0502,-0.59,NEUTRAL,0.19
CADJPY,CADJPY,Minor,115.245,0.13,BEARISH,0.29
NZDJPY,NZDJPY,Minor,93.593,-0.25,NEUTRAL,0.35
USDMXN,USDMXN,Exotic,17.2268,-0.01,BEARISH,0.3
USDZAR,USDZAR,Exotic,16.4764,-0.21,NEUTRAL,0.54
USDTRY,USDTRY,Exotic,45.4299,0.07,BULLISH,0.08
USDBRL,USDBRL,Exotic,4.9884,1.6,BEARISH,0.6
