pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1654,-0.53,NEUTRAL,0.25
GBPUSD,GBPUSD,Major,1.3373,-1.13,NEUTRAL,0.31
USDJPY,USDJPY,Major,158.442,0.37,NEUTRAL,0.31
USDCHF,USDCHF,Major,0.7852,0.47,NEUTRAL,0.31
AUDUSD,AUDUSD,Major,0.72,-0.76,BULLISH,0.4
USDCAD,USDCAD,Major,1.3738,0.25,NEUTRAL,0.2
NZDUSD,NZDUSD,Major,0.5891,-0.69,BULLISH,0.47
EURGBP,EURGBP,Minor,0.8712,0.59,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.606,-0.18,NEUTRAL,0.25
GBPJPY,GBPJPY,Minor,211.879,-0.77,NEUTRAL,0.28
EURCHF,EURCHF,Minor,0.9148,-0.1,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,114.045,-0.39,NEUTRAL,0.33
GBPCHF,GBPCHF,Minor,1.0499,-0.7,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.316,0.14,BEARISH,0.27
NZDJPY,NZDJPY,Minor,93.313,-0.32,NEUTRAL,0.36
USDMXN,USDMXN,Exotic,17.258,0.53,BEARISH,0.34
USDZAR,USDZAR,Exotic,16.5321,0.88,NEUTRAL,0.6
USDTRY,USDTRY,Exotic,45.5392,0.24,BULLISH,0.08
USDBRL,USDBRL,Exotic,4.9837,-0.82,NEUTRAL,0.67
