pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1667,-0.42,NEUTRAL,0.25
GBPUSD,GBPUSD,Major,1.3388,-1.02,NEUTRAL,0.3
USDJPY,USDJPY,Major,158.427,0.36,NEUTRAL,0.31
USDCHF,USDCHF,Major,0.7841,0.33,NEUTRAL,0.3
AUDUSD,AUDUSD,Major,0.7222,-0.46,BULLISH,0.38
USDCAD,USDCAD,Major,1.3721,0.12,NEUTRAL,0.2
NZDUSD,NZDUSD,Major,0.5907,-0.42,BULLISH,0.46
EURGBP,EURGBP,Minor,0.8712,0.58,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.77,-0.09,NEUTRAL,0.25
GBPJPY,GBPJPY,Minor,212.092,-0.67,NEUTRAL,0.28
EURCHF,EURCHF,Minor,0.9145,-0.14,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,114.365,-0.11,NEUTRAL,0.32
GBPCHF,GBPCHF,Minor,1.0497,-0.72,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.453,0.26,BEARISH,0.28
NZDJPY,NZDJPY,Minor,93.542,-0.07,NEUTRAL,0.34
USDMXN,USDMXN,Exotic,17.2238,0.33,BEARISH,0.33
USDZAR,USDZAR,Exotic,16.4781,0.56,NEUTRAL,0.58
USDTRY,USDTRY,Exotic,45.4934,0.14,BULLISH,0.08
USDBRL,USDBRL,Exotic,4.9837,-0.82,NEUTRAL,0.67
