name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4551.5,-2.71,0.1,0.0022,0.1 (0.002%),NEUTRAL,1.09,18.4
Silver,SI=F,Precious Metals,77.76,-8.42,0.005,0.0064,0.005 (0.006%),BULLISH,3.15,10.75
Platinum,PL=F,Precious Metals,1989.2,-4.53,0.1,0.005,0.1 (0.005%),BULLISH,2.33,17.83
Palladium,PA=F,Precious Metals,1432.5,-1.65,0.5,0.0349,0.5 (0.035%),BEARISH,2.23,19.78
Crude Oil WTI,CL=F,Energy,99.97,-1.19,0.01,0.01,0.01 (0.010%),BULLISH,2.92,0.25
Brent Crude,BZ=F,Energy,108.28,2.42,0.01,0.0092,0.01 (0.009%),NEUTRAL,3.33,0.29
Natural Gas,NG=F,Energy,2.946,1.8,0.001,0.0339,0.001 (0.034%),BULLISH,2.02,0.37
Copper,HG=F,Industrial Metals,6.276,-4.44,0.0005,0.008,0.0005 (0.008%),BULLISH,1.52,9.83
Corn,ZC=F,Agriculture,461.75,2.27,0.25,0.0541,0.25 (0.054%),NEUTRAL,0.99,1.18
Wheat,ZW=F,Agriculture,648.0,0.15,0.25,0.0386,0.25 (0.039%),BULLISH,1.73,2.1
Soybeans,ZS=F,Agriculture,1180.25,0.49,0.25,0.0212,0.25 (0.021%),BULLISH,0.83,1.23
Coffee,KC=F,Softs,271.9,-7.66,0.05,0.0184,0.05 (0.018%),BEARISH,1.9,6.53
Sugar,SB=F,Softs,14.77,-1.47,0.01,0.0677,0.01 (0.068%),BULLISH,1.66,0.29
Cotton,CT=F,Softs,81.04,-3.45,0.01,0.0123,0.01 (0.012%),BULLISH,1.65,1.29
